V,hinfjinf
420,1.18E-115
421,6.90E-116
422,4.03E-116
423,2.35E-116
424,1.37E-116
425,8.01E-117
426,4.68E-117
427,2.73E-117
428,1.59E-117
429,9.30E-118
430,5.43E-118
431,3.17E-118
432,1.85E-118
433,1.08E-118
434,6.30E-119
435,3.68E-119
436,2.15E-119
437,1.25E-119
438,7.31E-120
439,4.27E-120
440,2.49E-120
441,1.45E-120
442,8.49E-121
443,4.96E-121
444,2.89E-121
445,1.69E-121
446,9.86E-122
447,5.75E-122
448,3.36E-122
449,1.96E-122
450,1.14E-122
451,6.68E-123
452,3.90E-123
453,2.28E-123
454,1.33E-123
455,7.75E-124
456,4.53E-124
457,2.64E-124
458,1.54E-124
459,9.00E-125
460,5.25E-125
461,3.07E-125
462,1.79E-125
463,1.04E-125
464,6.10E-126
465,3.56E-126
466,2.08E-126
467,1.21E-126
468,7.08E-127
469,4.13E-127
470,2.41E-127
471,1.41E-127
472,8.22E-128
473,4.80E-128
474,2.80E-128
475,1.63E-128
476,9.54E-129
477,5.57E-129
478,3.25E-129
479,1.90E-129
480,1.11E-129
481,6.46E-130
482,3.77E-130
483,2.20E-130
484,1.29E-130
485,7.50E-131
486,4.38E-131
487,2.56E-131
488,1.49E-131
489,8.71E-132
490,5.08E-132
491,2.97E-132
492,1.73E-132
493,1.01E-132
494,5.90E-133
495,3.45E-133
496,2.01E-133
497,1.17E-133
498,6.85E-134
499,4.00E-134
500,2.33E-134
501,1.36E-134
502,7.95E-135
503,4.64E-135
504,2.71E-135
505,1.58E-135
506,9.23E-136
507,5.39E-136
508,3.15E-136
509,1.84E-136
510,1.07E-136
511,6.26E-137
512,3.65E-137
513,2.13E-137
514,1.24E-137
515,7.26E-138
516,4.24E-138
517,2.47E-138
518,1.44E-138
519,8.43E-139
520,4.92E-139
521,2.87E-139
522,1.68E-139
523,9.79E-140
524,5.71E-140
525,3.33E-140
526,1.95E-140
527,1.14E-140
528,6.63E-141
529,3.87E-141
530,2.26E-141
531,1.32E-141
532,7.70E-142
533,4.49E-142
534,2.62E-142
535,1.53E-142
536,8.94E-143
537,5.22E-143
538,3.05E-143
539,1.78E-143
540,1.04E-143
541,6.06E-144
542,3.53E-144
543,2.06E-144
544,1.20E-144
545,7.03E-145
546,4.10E-145
547,2.40E-145
548,1.40E-145
549,8.16E-146
550,4.76E-146
551,2.78E-146
552,1.62E-146
553,9.47E-147
554,5.53E-147
555,3.23E-147
556,1.88E-147
557,1.10E-147
558,6.42E-148
559,3.75E-148
560,2.19E-148
561,1.28E-148
562,7.45E-149
563,4.35E-149
564,2.54E-149
565,1.48E-149
566,8.65E-150
567,5.05E-150
568,2.95E-150
569,1.72E-150
570,1.00E-150
571,5.86E-151
572,3.42E-151
573,2.00E-151
574,1.17E-151
575,6.80E-152
576,3.97E-152
577,2.32E-152
578,1.35E-152
579,7.90E-153
580,4.61E-153
581,2.69E-153
582,1.57E-153
583,9.17E-154
584,5.35E-154
585,3.12E-154
586,1.82E-154
587,1.06E-154
588,6.21E-155
589,3.63E-155
590,2.12E-155
591,1.24E-155
592,7.21E-156
593,4.21E-156
594,2.46E-156
595,1.43E-156
596,8.37E-157
597,4.89E-157
598,2.85E-157
599,1.67E-157
600,9.72E-158
601,5.67E-158
602,3.31E-158
603,1.93E-158
604,1.13E-158
605,6.59E-159
606,3.84E-159
607,2.24E-159
608,1.31E-159
609,7.65E-160
610,4.46E-160
611,2.60E-160
612,1.52E-160
613,8.87E-161
614,5.18E-161
615,3.02E-161
616,1.77E-161
617,1.03E-161
618,6.01E-162
619,3.51E-162
620,2.05E-162
621,1.20E-162
622,6.98E-163
623,4.07E-163
624,2.38E-163
625,1.39E-163
626,8.10E-164
627,4.73E-164
628,2.76E-164
629,1.61E-164
630,9.41E-165
631,5.49E-165
632,3.21E-165
633,1.87E-165
634,1.09E-165
635,6.37E-166
636,3.72E-166
637,2.17E-166
638,1.27E-166
639,7.40E-167
640,4.32E-167
641,2.52E-167
642,1.47E-167
643,8.59E-168
644,5.01E-168
645,2.93E-168
646,1.71E-168
647,9.97E-169
648,5.82E-169
649,3.40E-169
650,1.98E-169
651,1.16E-169
652,6.76E-170
653,3.94E-170
654,2.30E-170
655,1.34E-170
656,7.84E-171
657,4.58E-171
658,2.67E-171
659,1.56E-171
660,9.11E-172
661,5.31E-172
662,3.10E-172
663,1.81E-172
664,1.06E-172
665,6.17E-173
666,3.60E-173
667,2.10E-173
668,1.23E-173
669,7.16E-174
670,4.18E-174
671,2.44E-174
672,1.42E-174
673,8.31E-175
674,4.85E-175
675,2.83E-175
676,1.65E-175
677,9.65E-176
678,5.63E-176
679,3.29E-176
680,1.92E-176
681,1.12E-176
682,6.54E-177
683,3.82E-177
684,2.23E-177
685,1.30E-177
686,7.59E-178
687,4.43E-178
688,2.59E-178
689,1.51E-178
690,8.81E-179
691,5.14E-179
692,3.00E-179
693,1.75E-179
694,1.02E-179
695,5.97E-180
696,3.49E-180
697,2.03E-180
698,1.19E-180
699,6.93E-181
700,4.05E-181
701,2.36E-181
702,1.38E-181
703,8.05E-182
704,4.70E-182
705,2.74E-182
706,1.60E-182
707,9.34E-183
708,5.45E-183
709,3.18E-183
710,1.86E-183
711,1.08E-183
712,6.33E-184
713,3.69E-184
714,2.16E-184
715,1.26E-184
716,7.35E-185
717,4.29E-185
718,2.50E-185
719,1.46E-185
720,8.53E-186
721,4.98E-186
722,2.91E-186
723,1.70E-186
724,9.90E-187
725,5.78E-187
726,3.37E-187
727,1.97E-187
728,1.15E-187
729,6.71E-188
730,3.92E-188
731,2.29E-188
732,1.33E-188
733,7.79E-189
734,4.55E-189
735,2.65E-189
736,1.55E-189
737,9.04E-190
738,5.28E-190
739,3.08E-190
740,1.80E-190
741,1.05E-190
742,6.13E-191
743,3.58E-191
744,2.09E-191
745,1.22E-191
746,7.11E-192
747,4.15E-192
748,2.42E-192
749,1.41E-192
750,8.26E-193
